令和7年1月1日住民基本台帳人口・世帯数、令和6年（1月1日から同年12月31日まで）人口動態（市区町村別）（外国人住民）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,令和7年,令和7年,令和7年,令和7年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年,令和6年
,,,2025年,2025年,2025年,2025年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年,2024年
,,,人口,人口,人口,世帯数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票記載数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,住民票消除数,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
,,,男,女,計,世帯数,転入者数（国内）,転入者数（国外）,転入者数（計）,出生者数,その他（国籍喪失）,その他（その他）,その他（計）,計（Ａ）,転出者数（国内）,転出者数（国外）,転出者数（計）,死亡者数,その他（帰化等）,その他（その他）,その他（計）,計（Ｂ）,増減数(Ａ)-(Ｂ),増減率,自然増減数,自然増減率,社会増減数,社会増減率
団体コード,都道府県名,市区町村名,人,人,人,世帯,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,％,人,％,人,％
085421,茨城県,猿島郡五霞町,268 ,137 ,405 ,302 ,91 ,60 ,151 ,2 ,0 ,3 ,3 ,156 ,46 ,26 ,72 ,0 ,0 ,16 ,16 ,88 ,68 ,20.18 ,2 ,0.59 ,66 ,19.58 
085464,茨城県,猿島郡境町,1192 ,634 ,1826 ,1151 ,261 ,352 ,613 ,10 ,0 ,4 ,4 ,627 ,236 ,76 ,312 ,4 ,1 ,86 ,87 ,403 ,224 ,13.98 ,6 ,0.37 ,218 ,13.61 
085600,茨城県,北相馬郡,499 ,519 ,1018 ,872 ,105 ,679 ,784 ,3 ,0 ,5 ,5 ,792 ,372 ,14 ,386 ,0 ,2 ,22 ,24 ,410 ,382 ,60.06 ,3 ,0.47 ,379 ,59.59 
085642,茨城県,北相馬郡利根町,499 ,519 ,1018 ,872 ,105 ,679 ,784 ,3 ,0 ,5 ,5 ,792 ,372 ,14 ,386 ,0 ,2 ,22 ,24 ,410 ,382 ,60.06 ,3 ,0.47 ,379 ,59.59 
090000,栃木県,-,28991 ,26771 ,55762 ,35292 ,9073 ,9834 ,18907 ,367 ,2 ,143 ,145 ,19419 ,8184 ,3346 ,11530 ,88 ,57 ,1825 ,1882 ,13500 ,5919 ,11.88 ,279 ,0.56 ,5640 ,11.32 
092011,栃木県,宇都宮市,5714 ,6643 ,12357 ,7551 ,1855 ,2098 ,3953 ,76 ,0 ,35 ,35 ,4064 ,1509 ,650 ,2159 ,20 ,12 ,313 ,325 ,2504 ,1560 ,14.45 ,56 ,0.52 ,1504 ,13.93 
092029,栃木県,足利市,3989 ,2635 ,6624 ,4399 ,966 ,1535 ,2501 ,48 ,1 ,27 ,28 ,2577 ,990 ,285 ,1275 ,9 ,19 ,254 ,273 ,1557 ,1020 ,18.20 ,39 ,0.70 ,981 ,17.51 
092037,栃木県,栃木市,3049 ,2400 ,5449 ,3635 ,977 ,1065 ,2042 ,39 ,1 ,14 ,15 ,2096 ,913 ,453 ,1366 ,5 ,2 ,247 ,249 ,1620 ,476 ,9.57 ,34 ,0.68 ,442 ,8.89 
092045,栃木県,佐野市,1939 ,1664 ,3603 ,2266 ,627 ,548 ,1175 ,27 ,0 ,8 ,8 ,1210 ,518 ,205 ,723 ,8 ,6 ,127 ,133 ,864 ,346 ,10.62 ,19 ,0.58 ,327 ,10.04 
092053,栃木県,鹿沼市,1007 ,853 ,1860 ,1314 ,296 ,258 ,554 ,10 ,0 ,15 ,15 ,579 ,191 ,155 ,346 ,0 ,4 ,75 ,79 ,425 ,154 ,9.03 ,10 ,0.59 ,144 ,8.44 
